DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,PLA
Kineococcus sp.,0
Propionispora sp.,0
Cellulosimicrobium sp.,0
Gracilibacillus sp.,0
Psychrobacillus sp.,0
Acidovorax sp.,0
Alcanivorax sp.,0
Alicycliphilus sp.,0
Cupriavidus sp.,0
Brevibacillus sp.,0
Delftia sp.,0
Leucobacter sp.,0
Pseudozyma sp.,0
_Ulocladium_ sp.,0
Chitinimonas sp.,0
Laceyella sp.,0
Monascus sp. _in_ Fungi_,0
Cladosporium subcinereum,1
Gongronella sp.,0
Cephalosporium sp.,0
Absidia sp. _in_ Fungi_,1
Cunninghamella sp.,0
Acremonium sp. _in_ Hypocreales_,0
